
960,720,31
1040,720,31
1120,720,31
960,640,14
1040,640,14
1120,640,14
960,800,31
1040,800,31
1120,800,31
1040,880,31
1040,960,31
1040,1040,31
1120,1040,14
1200,1040,14
1280,1040,14
1360,1040,14
1440,1040,14
1040,1120,31
1120,1120,31
1200,1120,31
1280,1120,31
1360,1120,31
1440,1120,31
880,880,31
960,880,31
1120,880,31
960,800,20
960,640,23
1120,720,26
960,640,33
1120,640,12
1120,640,8
1120,640,22
1120,720,5
1120,800,5
880,640,14
880,720,31
880,800,31
800,800,31
800,720,14
880,640,21
880,640,3
1120,1040,23
1280,1040,22
1520,1120,2
1520,1040,2
1600,1040,2
1600,1120,2
1600,1200,2
1520,1200,2
1520,960,14
1600,960,14
1680,1040,2
1760,1040,2
1840,1040,2
1840,1120,2
1760,1120,2
1680,1120,2
1680,1200,2
1760,1200,2
1840,1200,2
1680,960,14
1760,960,14
1840,960,14
1680,960,23
1520,960,22
1600,960,21
1520,960,3
1680,960,3
1840,960,3
1760,1040,26
1600,1040,26
1600,960,10
1600,960,11
1760,960,13
1680,1280,31
1680,1360,31
1680,1440,31
1760,1440,31
1840,1440,31
1920,1440,31
1840,1520,31
2000,1520,31
1920,1520,31
2000,1440,31
1840,1360,1
1760,1360,1
1920,1360,1
2000,1360,1

2000,1600,31
1920,1600,31
1840,1600,31
1120,960,34
1520,1200,29
1520,1280,34
